,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,minus,percent
ABORTION,,1,,,,,,,,2,,,#DIV/0!,#DIV/0!
ADMINISTRATIVE CODE,724,678,746,907,775,812,827,853,860,830,814,,0.124309392,12.43093923
ADMINISTRATIVE CODES,1,2,4,,1,1,3,1,,2,1,,0,0
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,,,,,,,,,,65,108,,#DIV/0!,#DIV/0!
ALCOHOLIC BEVERAGE CONTROL LAW,36,45,36,31,58,57,66,49,47,64,84,,1.333333333,133.3333333
ANTICIPATORY OFFENSES,10,9,9,5,9,9,6,7,2,2,2,,-0.8,-80
ARSON,357,435,779,679,566,499,557,705,804,769,590,,0.652661064,65.26610644
ASSAULT 3 & RELATED OFFENSES,29561,30661,31492,32764,35119,34889,38620,39655,41330,41481,43136,,0.459219918,45.92199181
BURGLAR'S TOOLS,120,144,120,166,174,206,229,229,305,233,231,,0.925,92.5
BURGLARY,19624,18728,18184,17398,16840,17053,17575,15931,15620,14177,12207,,-0.377955565,-37.79555646
CHILD ABANDONMENT/NON SUPPORT,39,44,28,14,26,26,21,31,18,29,15,,-0.615384615,-61.53846154
CRIMINAL MISCHIEF & RELATED OF,38696,41414,42670,39857,38990,37337,36658,34737,38211,39787,40331,,0.042252429,4.225242919
CRIMINAL TRESPASS,3735,4677,5013,5363,5230,4836,4065,3784,4159,3609,3398,,-0.090227577,-9.022757697
DANGEROUS DRUGS,19242,22629,22351,24319,25565,26315,24725,21820,22021,18761,18663,,-0.030090427,-3.009042719
DANGEROUS WEAPONS,6671,7792,8228,9400,9645,9608,8686,8627,8035,8225,8449,,0.266526758,26.65267576
DISORDERLY CONDUCT,,,58,128,109,71,74,66,37,46,61,,#DIV/0!,#DIV/0!
DISRUPTION OF A RELIGIOUS SERV,4,4,,5,2,3,3,4,5,7,2,,-0.5,-50
ENDAN WELFARE INCOMP,8,4,6,11,7,7,10,15,19,18,24,,2,200
ESCAPE 3,12,20,14,15,5,8,9,9,6,13,7,,-0.416666667,-41.66666667
FELONY ASSAULT,9743,10544,10306,11064,11619,12962,14091,15318,15572,16257,17223,,0.767730678,76.77306784
FORGERY,4131,3899,3389,3207,3496,2974,2827,3191,3615,4175,4884,,0.18228032,18.22803195
FORTUNE TELLING,2,2,,,2,,2,,,,,,-1,-100
FRAUDS,1537,1527,1670,1764,1893,1956,2249,2266,2689,2523,2320,,0.509433962,50.94339623
FRAUDULENT ACCOSTING,162,148,190,230,229,222,217,133,196,138,144,,-0.111111111,-11.11111111
GAMBLING,122,165,136,143,130,109,151,108,135,270,221,,0.81147541,81.14754098
GRAND LARCENY,31082,30935,31350,28869,28687,29492,33451,36627,36260,36857,36201,,0.164693392,16.46933917
GRAND LARCENY OF MOTOR VEHICLE,13015,11075,10870,9443,9268,8322,7241,6645,6970,6872,5936,,-0.543910872,-54.39108721
HARRASSMENT 2,36289,36114,35074,34936,34798,33767,37201,39716,45244,46942,51194,,0.410730524,41.07305244
"HOMICIDE-NEGLIGENT,UNCLASSIFIE",1,2,1,1,1,,5,4,4,,3,,2,200
HOMICIDE-NEGLIGENT-VEHICLE,2,5,6,9,4,7,6,8,1,2,1,,-0.5,-50
INTOXICATED & IMPAIRED DRIVING,4672,5552,5423,5244,4774,4191,4829,6134,6033,4811,5097,,0.090967466,9.096746575
INTOXICATED/IMPAIRED DRIVING,2,,1,3,6,4,1,5,7,5,1,,-0.5,-50
JOSTLING,17,6,18,14,17,27,39,26,28,33,43,,1.529411765,152.9411765
